exercise_name,equipment_id,source,confidence
Lever Leg Extension,ca9ba9fb-5a5a-56c1-9937-73c500b62220,seed,0.9
Lever Leg Extension,a10ba94c-8406-4a24-b2ba-4b4a4e3dc580,seed,0.9
Lever Leg Extension,f54d70f0-9362-4330-8e4f-4c61faa36b92,seed,0.9
Lever Leg Extension,f13b498f-5922-5387-806b-be9639fee4c3,seed,0.9
Lever Lying Leg Curl,7bb7197f-89dc-466a-906d-15e1b8b0906b,seed,0.9
Lever Lying Leg Curl,9e7a9577-1a5e-49bf-bf5c-7a990bbdb227,seed,0.9
Lever Lying Leg Curl,0375f89d-ad2e-42bc-a2c7-3a4482e0ffbc,seed,0.9
Lever Lying Leg Curl,7331485c-c1c0-4798-b157-b1cac104f378,seed,0.9
Lever Lying Leg Curl,1bbfc63e-e90a-4d6f-91fa-d427746c461c,seed,0.9
Lever Lying Leg Curl,468015e1-14ae-4df5-bf34-dc7e479dbc9f,seed,0.9
Lever Lying Leg Curl,5d130ddc-e1c6-45d9-af22-5378ecdc570a,seed,0.9
Lever Lying Leg Curl,7d60b6f1-912d-5d6b-9585-2ac56d8f4c1a,seed,0.9
Lever Lying Leg Curl,d12dd92d-9357-59ab-a391-9883b0bc994c,seed,0.9
Lever Military Press,74a84bde-b231-4aa9-9046-e1e1c935bada,seed,0.9
Lever Military Press,a97c569a-fda7-5431-b694-14fac355921d,seed,0.9
Lever Military Press,77138264-6d7e-422d-b23f-033ffab52c10,seed,0.9
Lever Military Press,d9b7ac61-fdd3-4ab7-8be0-27b7d505df0d,seed,0.9
Lever Military Press,7c8d3d90-04b9-432b-ab25-22d706821801,seed,0.9
Lever Military Press,d45d8acd-a416-4170-9a2e-5e65c3a573ae,seed,0.9
